roc threshold = 1.572000e-01 ; pd = 8.413948e-01 ; fa = 162   ; nMatches = 748   ; tp = 614   ; fp = 162   ; tn = 28    ; fn = 29    ; matched = 643   ; relevant = 776   ; nTrueTracks = 889   ; fa-norm = 1.620000e+02
roc threshold = 1.633810e-01 ; pd = 8.413948e-01 ; fa = 162   ; nMatches = 748   ; tp = 613   ; fp = 162   ; tn = 28    ; fn = 30    ; matched = 643   ; relevant = 775   ; nTrueTracks = 889   ; fa-norm = 1.620000e+02
roc threshold = 1.696330e-01 ; pd = 8.413948e-01 ; fa = 162   ; nMatches = 748   ; tp = 612   ; fp = 162   ; tn = 28    ; fn = 31    ; matched = 643   ; relevant = 774   ; nTrueTracks = 889   ; fa-norm = 1.620000e+02
roc threshold = 1.744180e-01 ; pd = 8.413948e-01 ; fa = 161   ; nMatches = 748   ; tp = 612   ; fp = 161   ; tn = 29    ; fn = 31    ; matched = 643   ; relevant = 773   ; nTrueTracks = 889   ; fa-norm = 1.610000e+02
roc threshold = 1.778930e-01 ; pd = 8.413948e-01 ; fa = 161   ; nMatches = 748   ; tp = 611   ; fp = 161   ; tn = 29    ; fn = 32    ; matched = 643   ; relevant = 772   ; nTrueTracks = 889   ; fa-norm = 1.610000e+02
roc threshold = 1.780630e-01 ; pd = 8.413948e-01 ; fa = 161   ; nMatches = 748   ; tp = 610   ; fp = 161   ; tn = 29    ; fn = 33    ; matched = 643   ; relevant = 771   ; nTrueTracks = 889   ; fa-norm = 1.610000e+02
roc threshold = 1.835340e-01 ; pd = 8.413948e-01 ; fa = 161   ; nMatches = 748   ; tp = 609   ; fp = 161   ; tn = 29    ; fn = 34    ; matched = 643   ; relevant = 770   ; nTrueTracks = 889   ; fa-norm = 1.610000e+02
roc threshold = 1.837440e-01 ; pd = 8.413948e-01 ; fa = 161   ; nMatches = 748   ; tp = 608   ; fp = 161   ; tn = 29    ; fn = 35    ; matched = 643   ; relevant = 769   ; nTrueTracks = 889   ; fa-norm = 1.610000e+02
roc threshold = 1.860750e-01 ; pd = 8.413948e-01 ; fa = 160   ; nMatches = 748   ; tp = 608   ; fp = 160   ; tn = 30    ; fn = 35    ; matched = 643   ; relevant = 768   ; nTrueTracks = 889   ; fa-norm = 1.600000e+02
roc threshold = 1.883670e-01 ; pd = 8.413948e-01 ; fa = 160   ; nMatches = 748   ; tp = 607   ; fp = 160   ; tn = 30    ; fn = 36    ; matched = 643   ; relevant = 767   ; nTrueTracks = 889   ; fa-norm = 1.600000e+02
roc threshold = 2.071670e-01 ; pd = 8.413948e-01 ; fa = 160   ; nMatches = 748   ; tp = 606   ; fp = 160   ; tn = 30    ; fn = 37    ; matched = 643   ; relevant = 766   ; nTrueTracks = 889   ; fa-norm = 1.600000e+02
roc threshold = 2.113670e-01 ; pd = 8.413948e-01 ; fa = 160   ; nMatches = 748   ; tp = 605   ; fp = 160   ; tn = 30    ; fn = 38    ; matched = 643   ; relevant = 765   ; nTrueTracks = 889   ; fa-norm = 1.600000e+02
roc threshold = 2.118510e-01 ; pd = 8.402700e-01 ; fa = 160   ; nMatches = 747   ; tp = 604   ; fp = 160   ; tn = 30    ; fn = 39    ; matched = 643   ; relevant = 764   ; nTrueTracks = 889   ; fa-norm = 1.600000e+02
roc threshold = 2.140310e-01 ; pd = 8.402700e-01 ; fa = 159   ; nMatches = 747   ; tp = 604   ; fp = 159   ; tn = 31    ; fn = 39    ; matched = 643   ; relevant = 763   ; nTrueTracks = 889   ; fa-norm = 1.590000e+02
roc threshold = 2.156780e-01 ; pd = 8.391451e-01 ; fa = 159   ; nMatches = 746   ; tp = 603   ; fp = 159   ; tn = 31    ; fn = 40    ; matched = 643   ; relevant = 762   ; nTrueTracks = 889   ; fa-norm = 1.590000e+02
roc threshold = 2.191320e-01 ; pd = 8.391451e-01 ; fa = 158   ; nMatches = 746   ; tp = 603   ; fp = 158   ; tn = 32    ; fn = 40    ; matched = 643   ; relevant = 761   ; nTrueTracks = 889   ; fa-norm = 1.580000e+02
roc threshold = 2.457760e-01 ; pd = 8.391451e-01 ; fa = 158   ; nMatches = 746   ; tp = 602   ; fp = 158   ; tn = 32    ; fn = 41    ; matched = 643   ; relevant = 760   ; nTrueTracks = 889   ; fa-norm = 1.580000e+02
roc threshold = 2.472030e-01 ; pd = 8.391451e-01 ; fa = 157   ; nMatches = 746   ; tp = 602   ; fp = 157   ; tn = 33    ; fn = 41    ; matched = 643   ; relevant = 759   ; nTrueTracks = 889   ; fa-norm = 1.570000e+02
roc threshold = 2.475120e-01 ; pd = 8.391451e-01 ; fa = 156   ; nMatches = 746   ; tp = 602   ; fp = 156   ; tn = 34    ; fn = 41    ; matched = 643   ; relevant = 758   ; nTrueTracks = 889   ; fa-norm = 1.560000e+02
roc threshold = 2.501560e-01 ; pd = 8.391451e-01 ; fa = 155   ; nMatches = 746   ; tp = 602   ; fp = 155   ; tn = 35    ; fn = 41    ; matched = 643   ; relevant = 757   ; nTrueTracks = 889   ; fa-norm = 1.550000e+02
roc threshold = 2.515750e-01 ; pd = 8.391451e-01 ; fa = 154   ; nMatches = 746   ; tp = 602   ; fp = 154   ; tn = 36    ; fn = 41    ; matched = 643   ; relevant = 756   ; nTrueTracks = 889   ; fa-norm = 1.540000e+02
roc threshold = 2.517670e-01 ; pd = 8.391451e-01 ; fa = 153   ; nMatches = 746   ; tp = 602   ; fp = 153   ; tn = 37    ; fn = 41    ; matched = 643   ; relevant = 755   ; nTrueTracks = 889   ; fa-norm = 1.530000e+02
roc threshold = 2.632250e-01 ; pd = 8.391451e-01 ; fa = 153   ; nMatches = 746   ; tp = 601   ; fp = 153   ; tn = 37    ; fn = 42    ; matched = 643   ; relevant = 754   ; nTrueTracks = 889   ; fa-norm = 1.530000e+02
