roc threshold = 9.999840e-01 ; pd = 3.980583e-01 ; fa = 0     ; nMatches = 41    ; tp = 20    ; fp = 0     ; tn = 0     ; fn = 62    ; matched = 82    ; relevant = 20    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999850e-01 ; pd = 3.786408e-01 ; fa = 0     ; nMatches = 39    ; tp = 17    ; fp = 0     ; tn = 0     ; fn = 65    ; matched = 82    ; relevant = 17    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999860e-01 ; pd = 3.592233e-01 ; fa = 0     ; nMatches = 37    ; tp = 16    ; fp = 0     ; tn = 0     ; fn = 66    ; matched = 82    ; relevant = 16    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999870e-01 ; pd = 3.592233e-01 ; fa = 0     ; nMatches = 37    ; tp = 15    ; fp = 0     ; tn = 0     ; fn = 67    ; matched = 82    ; relevant = 15    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999920e-01 ; pd = 3.009709e-01 ; fa = 0     ; nMatches = 31    ; tp = 13    ; fp = 0     ; tn = 0     ; fn = 69    ; matched = 82    ; relevant = 13    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999930e-01 ; pd = 2.718447e-01 ; fa = 0     ; nMatches = 28    ; tp = 11    ; fp = 0     ; tn = 0     ; fn = 71    ; matched = 82    ; relevant = 11    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999940e-01 ; pd = 2.621359e-01 ; fa = 0     ; nMatches = 27    ; tp = 10    ; fp = 0     ; tn = 0     ; fn = 72    ; matched = 82    ; relevant = 10    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999950e-01 ; pd = 2.233010e-01 ; fa = 0     ; nMatches = 23    ; tp = 9     ; fp = 0     ; tn = 0     ; fn = 73    ; matched = 82    ; relevant = 9     ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999960e-01 ; pd = 2.038835e-01 ; fa = 0     ; nMatches = 21    ; tp = 8     ; fp = 0     ; tn = 0     ; fn = 74    ; matched = 82    ; relevant = 8     ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999970e-01 ; pd = 1.941748e-01 ; fa = 0     ; nMatches = 20    ; tp = 7     ; fp = 0     ; tn = 0     ; fn = 75    ; matched = 82    ; relevant = 7     ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999980e-01 ; pd = 1.844660e-01 ; fa = 0     ; nMatches = 19    ; tp = 6     ; fp = 0     ; tn = 0     ; fn = 76    ; matched = 82    ; relevant = 6     ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 1.000000e+00 ; pd = 9.708738e-03 ; fa = 0     ; nMatches = 1     ; tp = 1     ; fp = 0     ; tn = 0     ; fn = 81    ; matched = 82    ; relevant = 1     ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 1.001000e+00 ; pd = 0.000000e+00 ; fa = 0     ; nMatches = 0     ; tp = 0     ; fp = 0     ; tn = 0     ; fn = 82    ; matched = 82    ; relevant = 0     ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
