roc threshold = 8.221050e-01 ; pd = 7.909605e-01 ; fa = 46    ; nMatches = 140   ; tp = 109   ; fp = 46    ; tn = 34    ; fn = 21    ; matched = 130   ; relevant = 155   ; nTrueTracks = 177   ; fa-norm = 4.600000e+01
roc threshold = 8.273730e-01 ; pd = 7.909605e-01 ; fa = 45    ; nMatches = 140   ; tp = 109   ; fp = 45    ; tn = 35    ; fn = 21    ; matched = 130   ; relevant = 154   ; nTrueTracks = 177   ; fa-norm = 4.500000e+01
roc threshold = 8.341120e-01 ; pd = 7.909605e-01 ; fa = 44    ; nMatches = 140   ; tp = 109   ; fp = 44    ; tn = 36    ; fn = 21    ; matched = 130   ; relevant = 153   ; nTrueTracks = 177   ; fa-norm = 4.400000e+01
roc threshold = 8.342370e-01 ; pd = 7.909605e-01 ; fa = 43    ; nMatches = 140   ; tp = 109   ; fp = 43    ; tn = 37    ; fn = 21    ; matched = 130   ; relevant = 152   ; nTrueTracks = 177   ; fa-norm = 4.300000e+01
roc threshold = 8.401880e-01 ; pd = 7.909605e-01 ; fa = 42    ; nMatches = 140   ; tp = 109   ; fp = 42    ; tn = 38    ; fn = 21    ; matched = 130   ; relevant = 151   ; nTrueTracks = 177   ; fa-norm = 4.200000e+01
roc threshold = 8.482770e-01 ; pd = 7.909605e-01 ; fa = 41    ; nMatches = 140   ; tp = 109   ; fp = 41    ; tn = 39    ; fn = 21    ; matched = 130   ; relevant = 150   ; nTrueTracks = 177   ; fa-norm = 4.100000e+01
roc threshold = 8.506260e-01 ; pd = 7.853107e-01 ; fa = 41    ; nMatches = 139   ; tp = 108   ; fp = 41    ; tn = 39    ; fn = 22    ; matched = 130   ; relevant = 149   ; nTrueTracks = 177   ; fa-norm = 4.100000e+01
roc threshold = 8.534510e-01 ; pd = 7.853107e-01 ; fa = 40    ; nMatches = 139   ; tp = 108   ; fp = 40    ; tn = 40    ; fn = 22    ; matched = 130   ; relevant = 148   ; nTrueTracks = 177   ; fa-norm = 4.000000e+01
roc threshold = 8.584130e-01 ; pd = 7.853107e-01 ; fa = 39    ; nMatches = 139   ; tp = 108   ; fp = 39    ; tn = 41    ; fn = 22    ; matched = 130   ; relevant = 147   ; nTrueTracks = 177   ; fa-norm = 3.900000e+01
roc threshold = 8.600020e-01 ; pd = 7.853107e-01 ; fa = 38    ; nMatches = 139   ; tp = 108   ; fp = 38    ; tn = 42    ; fn = 22    ; matched = 130   ; relevant = 146   ; nTrueTracks = 177   ; fa-norm = 3.800000e+01
roc threshold = 8.731570e-01 ; pd = 7.853107e-01 ; fa = 37    ; nMatches = 139   ; tp = 108   ; fp = 37    ; tn = 43    ; fn = 22    ; matched = 130   ; relevant = 145   ; nTrueTracks = 177   ; fa-norm = 3.700000e+01
roc threshold = 8.748570e-01 ; pd = 7.796610e-01 ; fa = 37    ; nMatches = 138   ; tp = 107   ; fp = 37    ; tn = 43    ; fn = 23    ; matched = 130   ; relevant = 144   ; nTrueTracks = 177   ; fa-norm = 3.700000e+01
roc threshold = 8.772320e-01 ; pd = 7.796610e-01 ; fa = 36    ; nMatches = 138   ; tp = 107   ; fp = 36    ; tn = 44    ; fn = 23    ; matched = 130   ; relevant = 143   ; nTrueTracks = 177   ; fa-norm = 3.600000e+01
roc threshold = 8.779730e-01 ; pd = 7.740113e-01 ; fa = 36    ; nMatches = 137   ; tp = 106   ; fp = 36    ; tn = 44    ; fn = 24    ; matched = 130   ; relevant = 142   ; nTrueTracks = 177   ; fa-norm = 3.600000e+01
roc threshold = 8.801580e-01 ; pd = 7.740113e-01 ; fa = 35    ; nMatches = 137   ; tp = 106   ; fp = 35    ; tn = 45    ; fn = 24    ; matched = 130   ; relevant = 141   ; nTrueTracks = 177   ; fa-norm = 3.500000e+01
roc threshold = 8.848020e-01 ; pd = 7.740113e-01 ; fa = 34    ; nMatches = 137   ; tp = 106   ; fp = 34    ; tn = 46    ; fn = 24    ; matched = 130   ; relevant = 140   ; nTrueTracks = 177   ; fa-norm = 3.400000e+01
roc threshold = 8.855410e-01 ; pd = 7.683616e-01 ; fa = 34    ; nMatches = 136   ; tp = 105   ; fp = 34    ; tn = 46    ; fn = 25    ; matched = 130   ; relevant = 139   ; nTrueTracks = 177   ; fa-norm = 3.400000e+01
roc threshold = 8.865990e-01 ; pd = 7.683616e-01 ; fa = 34    ; nMatches = 136   ; tp = 104   ; fp = 34    ; tn = 46    ; fn = 26    ; matched = 130   ; relevant = 138   ; nTrueTracks = 177   ; fa-norm = 3.400000e+01
roc threshold = 8.874120e-01 ; pd = 7.683616e-01 ; fa = 34    ; nMatches = 136   ; tp = 103   ; fp = 34    ; tn = 46    ; fn = 27    ; matched = 130   ; relevant = 137   ; nTrueTracks = 177   ; fa-norm = 3.400000e+01
roc threshold = 8.904540e-01 ; pd = 7.683616e-01 ; fa = 34    ; nMatches = 136   ; tp = 102   ; fp = 34    ; tn = 46    ; fn = 28    ; matched = 130   ; relevant = 136   ; nTrueTracks = 177   ; fa-norm = 3.400000e+01
roc threshold = 8.905950e-01 ; pd = 7.683616e-01 ; fa = 34    ; nMatches = 136   ; tp = 101   ; fp = 34    ; tn = 46    ; fn = 29    ; matched = 130   ; relevant = 135   ; nTrueTracks = 177   ; fa-norm = 3.400000e+01
