roc threshold = 4.994410e-01 ; pd = 9.207921e-01 ; fa = 36    ; nMatches = 93    ; tp = 84    ; fp = 36    ; tn = 21    ; fn = 14    ; matched = 98    ; relevant = 120   ; nTrueTracks = 101   ; fa-norm = 3.600000e+01
roc threshold = 5.088680e-01 ; pd = 9.207921e-01 ; fa = 35    ; nMatches = 93    ; tp = 84    ; fp = 35    ; tn = 22    ; fn = 14    ; matched = 98    ; relevant = 119   ; nTrueTracks = 101   ; fa-norm = 3.500000e+01
roc threshold = 5.310000e-01 ; pd = 9.207921e-01 ; fa = 34    ; nMatches = 93    ; tp = 84    ; fp = 34    ; tn = 23    ; fn = 14    ; matched = 98    ; relevant = 118   ; nTrueTracks = 101   ; fa-norm = 3.400000e+01
roc threshold = 5.394660e-01 ; pd = 9.207921e-01 ; fa = 33    ; nMatches = 93    ; tp = 84    ; fp = 33    ; tn = 24    ; fn = 14    ; matched = 98    ; relevant = 117   ; nTrueTracks = 101   ; fa-norm = 3.300000e+01
roc threshold = 5.561210e-01 ; pd = 9.207921e-01 ; fa = 32    ; nMatches = 93    ; tp = 84    ; fp = 32    ; tn = 25    ; fn = 14    ; matched = 98    ; relevant = 116   ; nTrueTracks = 101   ; fa-norm = 3.200000e+01
roc threshold = 5.765140e-01 ; pd = 9.207921e-01 ; fa = 31    ; nMatches = 93    ; tp = 84    ; fp = 31    ; tn = 26    ; fn = 14    ; matched = 98    ; relevant = 115   ; nTrueTracks = 101   ; fa-norm = 3.100000e+01
roc threshold = 5.921880e-01 ; pd = 9.207921e-01 ; fa = 31    ; nMatches = 93    ; tp = 83    ; fp = 31    ; tn = 26    ; fn = 15    ; matched = 98    ; relevant = 114   ; nTrueTracks = 101   ; fa-norm = 3.100000e+01
roc threshold = 5.969180e-01 ; pd = 9.207921e-01 ; fa = 31    ; nMatches = 93    ; tp = 82    ; fp = 31    ; tn = 26    ; fn = 16    ; matched = 98    ; relevant = 113   ; nTrueTracks = 101   ; fa-norm = 3.100000e+01
roc threshold = 5.986530e-01 ; pd = 9.207921e-01 ; fa = 31    ; nMatches = 93    ; tp = 81    ; fp = 31    ; tn = 26    ; fn = 17    ; matched = 98    ; relevant = 112   ; nTrueTracks = 101   ; fa-norm = 3.100000e+01
roc threshold = 6.229580e-01 ; pd = 9.207921e-01 ; fa = 31    ; nMatches = 93    ; tp = 80    ; fp = 31    ; tn = 26    ; fn = 18    ; matched = 98    ; relevant = 111   ; nTrueTracks = 101   ; fa-norm = 3.100000e+01
roc threshold = 6.294960e-01 ; pd = 9.207921e-01 ; fa = 30    ; nMatches = 93    ; tp = 80    ; fp = 30    ; tn = 27    ; fn = 18    ; matched = 98    ; relevant = 110   ; nTrueTracks = 101   ; fa-norm = 3.000000e+01
roc threshold = 6.447480e-01 ; pd = 9.207921e-01 ; fa = 30    ; nMatches = 93    ; tp = 79    ; fp = 30    ; tn = 27    ; fn = 19    ; matched = 98    ; relevant = 109   ; nTrueTracks = 101   ; fa-norm = 3.000000e+01
roc threshold = 6.774060e-01 ; pd = 9.207921e-01 ; fa = 29    ; nMatches = 93    ; tp = 79    ; fp = 29    ; tn = 28    ; fn = 19    ; matched = 98    ; relevant = 108   ; nTrueTracks = 101   ; fa-norm = 2.900000e+01
roc threshold = 6.863480e-01 ; pd = 9.207921e-01 ; fa = 28    ; nMatches = 93    ; tp = 79    ; fp = 28    ; tn = 29    ; fn = 19    ; matched = 98    ; relevant = 107   ; nTrueTracks = 101   ; fa-norm = 2.800000e+01
roc threshold = 6.881400e-01 ; pd = 9.207921e-01 ; fa = 27    ; nMatches = 93    ; tp = 79    ; fp = 27    ; tn = 30    ; fn = 19    ; matched = 98    ; relevant = 106   ; nTrueTracks = 101   ; fa-norm = 2.700000e+01
roc threshold = 7.103940e-01 ; pd = 9.207921e-01 ; fa = 26    ; nMatches = 93    ; tp = 79    ; fp = 26    ; tn = 31    ; fn = 19    ; matched = 98    ; relevant = 105   ; nTrueTracks = 101   ; fa-norm = 2.600000e+01
roc threshold = 7.258430e-01 ; pd = 9.207921e-01 ; fa = 26    ; nMatches = 93    ; tp = 78    ; fp = 26    ; tn = 31    ; fn = 20    ; matched = 98    ; relevant = 104   ; nTrueTracks = 101   ; fa-norm = 2.600000e+01
roc threshold = 7.446240e-01 ; pd = 9.207921e-01 ; fa = 26    ; nMatches = 93    ; tp = 77    ; fp = 26    ; tn = 31    ; fn = 21    ; matched = 98    ; relevant = 103   ; nTrueTracks = 101   ; fa-norm = 2.600000e+01
roc threshold = 7.672430e-01 ; pd = 9.207921e-01 ; fa = 26    ; nMatches = 93    ; tp = 76    ; fp = 26    ; tn = 31    ; fn = 22    ; matched = 98    ; relevant = 102   ; nTrueTracks = 101   ; fa-norm = 2.600000e+01
roc threshold = 7.675560e-01 ; pd = 8.811881e-01 ; fa = 26    ; nMatches = 89    ; tp = 75    ; fp = 26    ; tn = 31    ; fn = 23    ; matched = 98    ; relevant = 101   ; nTrueTracks = 101   ; fa-norm = 2.600000e+01
roc threshold = 7.943620e-01 ; pd = 8.811881e-01 ; fa = 25    ; nMatches = 89    ; tp = 75    ; fp = 25    ; tn = 32    ; fn = 23    ; matched = 98    ; relevant = 100   ; nTrueTracks = 101   ; fa-norm = 2.500000e+01
roc threshold = 7.956710e-01 ; pd = 8.811881e-01 ; fa = 25    ; nMatches = 89    ; tp = 74    ; fp = 25    ; tn = 32    ; fn = 24    ; matched = 98    ; relevant = 99    ; nTrueTracks = 101   ; fa-norm = 2.500000e+01
roc threshold = 8.236230e-01 ; pd = 8.811881e-01 ; fa = 24    ; nMatches = 89    ; tp = 74    ; fp = 24    ; tn = 33    ; fn = 24    ; matched = 98    ; relevant = 98    ; nTrueTracks = 101   ; fa-norm = 2.400000e+01
roc threshold = 8.325590e-01 ; pd = 8.811881e-01 ; fa = 24    ; nMatches = 89    ; tp = 73    ; fp = 24    ; tn = 33    ; fn = 25    ; matched = 98    ; relevant = 97    ; nTrueTracks = 101   ; fa-norm = 2.400000e+01
roc threshold = 8.386390e-01 ; pd = 8.811881e-01 ; fa = 23    ; nMatches = 89    ; tp = 73    ; fp = 23    ; tn = 34    ; fn = 25    ; matched = 98    ; relevant = 96    ; nTrueTracks = 101   ; fa-norm = 2.300000e+01
roc threshold = 8.487170e-01 ; pd = 8.811881e-01 ; fa = 22    ; nMatches = 89    ; tp = 73    ; fp = 22    ; tn = 35    ; fn = 25    ; matched = 98    ; relevant = 95    ; nTrueTracks = 101   ; fa-norm = 2.200000e+01
roc threshold = 8.632470e-01 ; pd = 8.613861e-01 ; fa = 22    ; nMatches = 87    ; tp = 72    ; fp = 22    ; tn = 35    ; fn = 26    ; matched = 98    ; relevant = 94    ; nTrueTracks = 101   ; fa-norm = 2.200000e+01
roc threshold = 8.693440e-01 ; pd = 8.613861e-01 ; fa = 21    ; nMatches = 87    ; tp = 72    ; fp = 21    ; tn = 36    ; fn = 26    ; matched = 98    ; relevant = 93    ; nTrueTracks = 101   ; fa-norm = 2.100000e+01
roc threshold = 8.707980e-01 ; pd = 8.613861e-01 ; fa = 20    ; nMatches = 87    ; tp = 72    ; fp = 20    ; tn = 37    ; fn = 26    ; matched = 98    ; relevant = 92    ; nTrueTracks = 101   ; fa-norm = 2.000000e+01
roc threshold = 8.763150e-01 ; pd = 8.613861e-01 ; fa = 20    ; nMatches = 87    ; tp = 71    ; fp = 20    ; tn = 37    ; fn = 27    ; matched = 98    ; relevant = 91    ; nTrueTracks = 101   ; fa-norm = 2.000000e+01
roc threshold = 8.788190e-01 ; pd = 8.613861e-01 ; fa = 19    ; nMatches = 87    ; tp = 71    ; fp = 19    ; tn = 38    ; fn = 27    ; matched = 98    ; relevant = 90    ; nTrueTracks = 101   ; fa-norm = 1.900000e+01
